SYMBOL,DAY1_PCT_CHANGE,DAY2_PCT_CHANGE,DELTA_PCT_CHANGE,TREND
GOYALSALT,1.11,-1.97,-3.08,down
GRADIENTE,1.13,-3.36,-4.49,down
GRANDOAK,4.77,-1.56,-6.33,down
GRAPHITE,1.82,-1.68,-3.5,down
GRAVITA,1.79,0.76,-1.03,down
GREAVESCOT,2.87,-1.34,-4.21,down
GREENLAM,2.42,0.2,-2.2199999999999998,down
GREENPANEL,1.44,-4.95,-6.390000000000001,down
GRETEX,4.46,,,flat
GROWWCHEM,1.61,-0.71,-2.3200000000000003,down
GROWWDEFNC,2.48,0.51,-1.97,down
GROWWGOLD,2.48,0.76,-1.72,down
GROWWPSUBK,2.61,0.68,-1.9299999999999997,down
GRPLTD,3.28,-1.9,-5.18,down
GRSE,3.67,-0.02,-3.69,down
GSLSU,1.95,-4.01,-5.96,down
GUJENERGY,1.12,-3.74,-4.86,down
GUJTHEM,1.67,-1.64,-3.3099999999999996,down
GULFOILLUB,2.11,-1.25,-3.36,down
HAL,5.92,-0.2,-6.12,down
HALDER,1.64,0.26,-1.38,down
HAPPSTMNDS,1.33,0.38,-0.9500000000000001,down
HARSHA,1.25,0.33,-0.9199999999999999,down
HCG,1.34,-0.39,-1.73,down
HDFCGOLD,2.43,0.8,-1.6300000000000001,down
HEALTHADD,1.63,0.06,-1.5699999999999998,down
HERITGFOOD,6.11,0.91,-5.2,down
HESTERBIO,1.04,-1.65,-2.69,down
HEXATRADEX,2.37,-0.42,-2.79,down
HGINFRA,1.73,-0.57,-2.3,down
HINDCOPPER,2.28,-1.8,-4.08,down
HOLMARC,4.99,,,flat
HOMESFY,1.75,,,flat
HPAL,3.32,-2.82,-6.14,down
HSCL,1.61,-1.1,-2.71,down
HUHTAMAKI,2.06,-5.17,-7.23,down
IBULLSLTD,4.99,-3.51,-8.5,down
ICEMAKE,1.25,-0.95,-2.2,down
ICRA,1.04,-1.6,-2.64,down
IDEAFORGE,5.0,-0.47,-5.47,down
IDENTICAL,6.25,-6.14,-12.39,down
IDFNIFTYET,1.29,-1.37,-2.66,down
IFGLEXPOR,2.65,0.73,-1.92,down
IGARASHI,7.1,-5.8,-12.899999999999999,down
IIFL060326,2.3,-1.86,-4.16,down
IMFA,1.36,-2.51,-3.87,down
INDGN,16.15,0.77,-15.379999999999999,down
INDGN,1.83,0.77,-1.06,down
INDIFRA,4.82,,,flat
INDIGOPNTS,3.47,-0.72,-4.19,down
INDIQUBE,4.63,0.47,-4.16,down
INDOAMIN,2.54,-1.05,-3.59,down
INDOMIM,9.58,-1.3,-10.88,down
INDOTECH,5.0,0.13,-4.87,down
INDPRUD,1.99,-1.89,-3.88,down
INDTERRAIN,1.51,-1.92,-3.4299999999999997,down
INDUSINVIT,3.02,0.68,-2.34,down
INVENTURE,1.1,-2.17,-3.27,down
INVICTA,1.28,-2.66,-3.9400000000000004,down
IOB,1.75,-1.55,-3.3,down
IRCTC,2.0,-0.1,-2.1,down
IRISDOREME,1.01,0.93,-0.07999999999999996,down
IRMENERGY,5.76,0.43,-5.33,down
ITCHOTELS,1.27,-0.25,-1.52,down
ITI,2.01,-1.69,-3.6999999999999997,down
IVZINGOLD,2.47,0.7,-1.7700000000000002,down
J&KBANK,2.31,-0.52,-2.83,down
JAINAM,4.6,-1.67,-6.27,down
JETFREIGHT,1.5,0.48,-1.02,down
JINDALPOLY,1.01,-2.02,-3.0300000000000002,down
JKPAPER,1.03,-0.55,-1.58,down
JMFINANCIL,2.9,-1.79,-4.6899999999999995,down
