SYMBOL,full_pct_change_2026-08-06,top_gainers_2026-08-06,top_losers_2026-08-06,CURRENT_UP_STREAK
BALAMINES,5.12,,,0
BALAXI,0.12,,,0
BALCO,-4.76,,,0
BALKRISHNA,-0.86,,,0
BALKRISIND,-1.44,,,0
BALMLAWRIE,0.56,,,0
BALPHARMA,-2.4,,,0
BALRAMCHIN,-0.98,,,0
BALUFORGE,2.81,,,0
BANARBEADS,-0.01,,,0
BANARISUG,1.02,,,0
BANCOINDIA,-0.6,,,0
BANDHANBNK,2.46,,,0
BANG,-0.2,,,0
BANK10ADD,-0.41,,,0
BANK10BETF,1.96,,,0
BANKA,-0.89,,,0
BANKADD,0.78,,,0
BANKBARODA,2.2,,,0
BANKBEES,0.65,,,0
BANKBETA,0.74,,,0
BANKBETF,0.94,,,0
BANKETF,0.79,,,0
BANKIETF,0.81,,,0
BANKINDIA,1.18,,,0
BANKNIFTY1,0.73,,,0
BANKPSU,2.2,,,0
BANSALWIRE,3.36,,,0
BANSWRAS,1.0,,,0
BARFLEX,0.9,,,0
BASF,2.19,,,0
BASILIC,-2.87,,,0
BASML,-0.7,,,0
BATAINDIA,-0.27,,,0
BATLIBOI,8.88,,,0
BAWEJA,-2.43,,,0
BAYERCROP,-2.05,,,0
BBETF0432,-0.26,,,0
BBL,1.11,,,0
BBNPNBETF,-0.29,,,0
BBNPPGOLD,2.29,,,0
BBOX,-0.94,,,0
BBTC,-0.23,,,0
BBTCL,-0.98,,,0
BCG,-1.49,,,0
BCLIND,-0.27,,,0
BCONCEPTS,-3.4,,,0
BCPL,0.34,,,0
BDL,4.76,,,0
BEACON,2.25,,,0
BEARDSELL,0.59,,,0
BECTORFOOD,-1.09,,,0
BEDMUTHA,-2.25,,,0
BEEKAY,-1.96,,,0
BEL,2.36,,,0
BELLACASA,0.27,,,0
BELRISE,1.29,,,0
BEML,3.2,,,0
BENGALASM,-1.05,,,0
BEPL,0.77,,,0
BERGEPAINT,-1.39,,,0
BESTAGRO,-3.48,,,0
BETA,6.42,,,0
BEWLTD,-2.91,,,0
BFINVEST,-0.93,,,0
BFSI,0.47,,,0
BFUTILITIE,-0.12,,,0
BGRENERGY,-1.84,,,0
BHADORA,1.86,,,0
BHAGCHEM,-2.39,,,0
BHAGERIA,-1.73,,,0
BHAGYANGR,-0.44,,,0
BHANDARI,-0.35,,,0
BHARATCOAL,-0.46,,,0
BHARATFORG,0.59,,,0
BHARATGEAR,-3.5,,,0
BHARATRAS,-0.72,,,0
BHARATSE,-1.18,,,0
BHARATWIRE,0.95,,,0
BHARTIARTL,-1.52,,,0
BHARTIHEXA,-2.46,,,0
BHEL,-1.03,,,0
BI,-0.11,,,0
BIGBLOC,-2.59,,,0
BIKAJI,-4.01,,,0
BIKEWO,4.98,,,0
BIL,0.22,,,0
BILVYAPAR,-1.52,,,0
BIMETAL,2.02,,,0
BIOCON,2.68,,,0
BIOFILCHEM,-3.04,,,0
BIOPOL,-3.96,,,0
BIRET,0.27,,,0
BIRLACABLE,5.0,,,0
BIRLACORPN,0.68,,,0
BIRLAMONEY,0.12,,,0
BIRLANU,10.17,10.17,,0
BIRLAPREC,1.04,,,0
BLACKBUCK,0.24,,,0
BLACKROSE,-0.76,,,0
BLAL,0.43,,,0
BLBLIMITED,2.49,,,0
BLIL,0.24,,,0
BLISSGVS,-0.67,,,0
BLKASHYAP,4.52,,,0
BLS,-0.65,,,0
BLSE,-0.47,,,0
BLUECHIP,0.0,,,0
BLUECOAST,-0.7,,,0
BLUEDART,-3.42,,,0
BLUEJET,-0.56,,,0
BLUEPEBBLE,7.35,,,0
BLUESTARCO,-5.65,,,0
BLUESTONE,-3.69,,,0
BLUEWATER,1.93,,,0
BLUSPRING,-0.56,,,0
BMLL,-0.73,,,0
BMWVENTLTD,1.3,,,0
BNAGROCHEM,1.13,,,0
BNALTD,0.0,,,0
BNKETFAXIS,0.13,,,0
BODALCHEM,-4.99,,,0
BOHRAIND,-2.03,,,0
BOMDYEING,0.37,,,0
BONLON,-0.35,,,0
