SYMBOL,CLOSE,PREV_CLOSE,PCT_CHANGE
DEEPAKNTR,1796.5,1750.4,2.63
GLOSTERLTD,697.45,679.55,2.63
AGARWALEYE,546.25,532.3,2.62
SNEHAA,46.95,45.75,2.62
FEDDERSHOL,43.45,42.34,2.62
BIRLACABLE,254.21,247.72,2.62
TATSILV,22.35,21.78,2.62
CARBORUNIV,1097.0,1069.1,2.61
PALREDTEC,48.9,47.66,2.6
DUCON,3.16,3.08,2.6
ALLETEC,134.05,130.65,2.6
HIKAL,227.14,221.43,2.58
MTEDUCARE,1.99,1.94,2.58
HONASA,477.6,465.65,2.57
GRCL,524.95,511.8,2.57
SILVERAG,224.32,218.71,2.57
JKIPL,100.49,97.97,2.57
NETWEB,4939.2,4816.0,2.56
SUNDROP,681.8,664.8,2.56
PRIZOR,899.0,876.55,2.56
THANGAMAYL,5275.0,5144.0,2.55
TOTAL,69.6,67.87,2.55
MOMENTUM,31.42,30.64,2.55
HISARMETAL,152.02,148.25,2.54
ROLEXRINGS,156.68,152.8,2.54
BIL,830.35,809.9,2.53
MCLOUD,29.68,28.95,2.52
JSWINFRA,335.75,327.5,2.52
CNL,1116.85,1089.45,2.52
DBOL,113.7,110.92,2.51
BHARATFORG,2265.2,2210.0,2.5
DGCONTENT,25.82,25.19,2.5
INSPIRISYS,100.04,97.6,2.5
MVGJL,169.95,165.82,2.49
JGCHEM,552.8,539.5,2.47
OBSCP,749.0,731.0,2.46
SIGNORIA,166.5,162.5,2.46
SHANTIGOLD,224.01,218.65,2.45
CAMPUS,224.37,219.0,2.45
AONESILVER,8.78,8.57,2.45
TIMEX,556.3,543.05,2.44
CMPDI,250.14,244.18,2.44
CHEMBONDCH,237.42,231.77,2.44
GILLANDERS,90.69,88.55,2.42
GOLDENTOBC,24.59,24.01,2.42
KALANA,19.15,18.7,2.41
BIOPOL,101.9,99.5,2.41
VSSL,341.85,333.85,2.4
MOSILVER,227.17,221.84,2.4
WEWIN,47.0,45.9,2.4
KOTHARIPRO,69.63,68.0,2.4
TASTYBITE,9394.0,9175.0,2.39
AHCL,14.55,14.21,2.39
KCP,154.96,151.35,2.39
CONFIPET,81.28,79.39,2.38
PNGSREVA,511.2,499.3,2.38
TNPETRO,101.03,98.68,2.38
COSMOFIRST,892.5,871.95,2.36
SVPGLOB,3.9,3.81,2.36
USASEEDS,90.9,88.8,2.36
AYE,170.47,166.55,2.35
WOCKPHARMA,2021.0,1975.0,2.33
SURYALAXMI,60.22,58.85,2.33
SRIVASAVI,90.0,87.95,2.33
MUFIN,137.19,134.07,2.33
MAWANASUG,115.83,113.2,2.32
MERCANTILE,25.09,24.52,2.32
JINDALSAW,271.4,265.25,2.32
SETL,281.0,274.65,2.31
BALUFORGE,469.05,458.45,2.31
GLOTTIS,69.06,67.51,2.3
FWSTC,189.7,185.45,2.29
662GS2051,92.77,90.7,2.28
FRESHARA,361.5,353.45,2.28
ZOTA,1274.7,1246.4,2.27
REDTAPE,139.97,136.86,2.27
SHRIAHIMSA,385.25,376.7,2.27
BOSCH-HCIL,1682.4,1645.2,2.26
BOSCHLTD,42950.0,42000.0,2.26
PNC,19.92,19.48,2.26
MAXVOLT,346.25,338.65,2.24
716GS2050,102.25,100.01,2.24
ZFCVINDIA,2637.2,2580.3,2.21
TIIL,2693.5,2635.2,2.21
HINDZINC,603.0,590.0,2.2
9AEL30,1044.95,1022.5,2.2
GICHSGFIN,152.88,149.59,2.2
POWERINDIA,32600.0,31900.0,2.19
MPHASIS,2475.0,2421.9,2.19
SPAL,1036.6,1014.5,2.18
AGRITECH,111.4,109.02,2.18
INDBANK,32.96,32.26,2.17
MAHASTEEL,1046.3,1024.1,2.17
DALMIASUG,404.4,395.8,2.17
INFOLLION,161.15,157.75,2.16
PAUSHAKLTD,706.65,691.7,2.16
SUDARSCHEM,1139.6,1115.6,2.15
SEAMECLTD,1527.7,1495.5,2.15
EMCURE,1978.4,1936.7,2.15
IITL,144.86,141.83,2.14
KRISHCA,165.0,161.55,2.14
KICL,5646.5,5528.0,2.14
SILKY,74.35,72.8,2.13
ARSHIYA,0.96,0.94,2.13
HFCL,207.98,203.67,2.12
BOROSCI,141.85,138.92,2.11
WAAREEENER,2717.0,2660.9,2.11
RKDL,19.47,19.07,2.1
ASTRAMICRO,1840.0,1802.2,2.1
EUROBOND,164.99,161.6,2.1
ATLASCYCLE,99.72,97.68,2.09
ITALIANE,31.75,31.1,2.09
SHYAMDHANI,63.5,62.2,2.09
DELHIVERY,473.3,463.6,2.09
NAHARSPING,316.25,309.8,2.08
SUYOG,880.45,862.55,2.08
CKKRETAIL,148.0,145.0,2.07
AUTOBEES,307.43,301.21,2.07
EIMCOELECO,1849.0,1811.7,2.06
DENORA,887.8,869.95,2.05
LLOYDSME,2101.2,2059.0,2.05
TIRUPATIFL,72.07,70.62,2.05
SYNCOMF,13.45,13.18,2.05
KHANDSE,17.4,17.05,2.05
IMAGICAA,52.14,51.1,2.04
KCEIL,85.65,83.95,2.03
SIKKO,6.03,5.91,2.03
LEXUS,15.09,14.79,2.03
DIGISPICE,17.55,17.2,2.03
SANSERA,3863.8,3787.3,2.02
KAPSTON,525.9,515.5,2.02
POKARNA,986.6,967.15,2.01
SGBFEB27,14689.0,14399.0,2.01
1025SCL34Z,1015.0,995.0,2.01
NIBL,34.72,34.04,2.0
POWERICA,533.2,522.75,2.0
MASON,119.85,117.5,2.0
FROG,214.2,210.0,2.0
GATECHDVR,0.51,0.5,2.0
AVATAR,197.75,193.9,1.99
MEGASTAR,331.05,324.6,1.99
APSISAERO,466.1,457.0,1.99
PANAMAPET,504.8,494.95,1.99
VIJIFIN,11.25,11.03,1.99
COCHINSHIP,1519.7,1490.0,1.99
EUROTEXIND,13.37,13.11,1.98
INNOMET,190.5,186.8,1.98
INOXGREEN,179.43,175.96,1.97
ORISSAMINE,4405.2,4320.2,1.97
BRITANNIA,5510.0,5404.0,1.96
CENTRUM,25.13,24.65,1.95
ATHERENERG,1481.5,1453.2,1.95
CANARYS,23.7,23.25,1.94
LTFOODS,427.55,419.4,1.94
SHILCTECH,4620.1,4532.2,1.94
HAPPYFORGE,1906.2,1870.0,1.94
TORNTPOWER,1350.8,1325.2,1.93
SPECIALITY,145.17,142.42,1.93
VITAL,50.45,49.5,1.92
ATALREAL,35.3,34.64,1.91
EXPLEOSOL,836.75,821.05,1.91
DEEPINDS,638.9,627.0,1.9
GOKULAGRO,228.8,224.53,1.9
DJML,112.88,110.78,1.9
JAINIK,191.0,187.45,1.89
TECH,34.69,34.05,1.88
FIBERWEB,29.76,29.21,1.88
AUSOMENT,140.88,138.28,1.88
ANTHEM,841.0,825.65,1.86
FILATEX,83.33,81.81,1.86
DIGIDRIVE,17.65,17.33,1.85
VASCONEQ,33.64,33.03,1.85
PARAGON,49.9,49.0,1.84
SGBOCT27,14920.02,14650.0,1.84
MARKSANS,273.85,268.9,1.84
COCKERILL,9635.5,9462.0,1.83
MTARTECH,7085.5,6959.0,1.82
COMPINFO,1.12,1.1,1.82
RAMCOSYS,637.9,626.5,1.82
REMSONSIND,90.24,88.64,1.81
NDRAUTO,828.9,814.15,1.81
AKCAPIT,1720.7,1690.3,1.8
MEP,0.57,0.56,1.79
AUTOIETF,30.7,30.16,1.79
KPIL,1317.2,1294.1,1.79
LASA,7.99,7.85,1.78
TATAELXSI,3781.0,3715.0,1.78
SUPREMEENG,2.29,2.25,1.78
AMBAAUTO,103.3,101.5,1.77
RAMCOIND,339.65,333.75,1.77
ARTNIRMAN,42.49,41.75,1.77
QLINE,538.7,529.4,1.76
VERTIS,113.0,111.05,1.76
BRIGADE,581.95,571.95,1.75
ZEEL,94.19,92.57,1.75
706GS2041,101.75,100.0,1.75
CSLFINANCE,216.77,213.04,1.75
VIRINCHI,15.76,15.49,1.74
IWARE,471.0,463.0,1.73
CUB,212.0,208.39,1.73
SWANDEF,2694.9,2649.0,1.73
THERMAX,4059.9,3991.0,1.73
HILTON,21.41,21.05,1.71
SGBJUN27,14899.0,14650.0,1.7
JAYESH,140.85,138.5,1.7
KRITI,70.49,69.31,1.7
MKPL,4.21,4.14,1.69
RPPL,25.81,25.38,1.69
PRAJIND,325.05,319.65,1.69
FOSECOIND,5500.5,5409.0,1.69
AHLADA,38.2,37.57,1.68
BALKRISHNA,17.66,17.37,1.67
KANCHI,367.95,361.9,1.67
830PFCL27,1089.41,1071.62,1.66
LICI,394.0,387.55,1.66
BANKINDIA,145.0,142.66,1.64
UMESLTD,5.57,5.48,1.64
EVINDIA,34.18,33.63,1.64
AVANTIFEED,906.55,891.9,1.64
GICL,19.91,19.59,1.63
KAKATCEM,118.45,116.55,1.63
EVIETF,34.23,33.68,1.63
INDOUS,81.65,80.35,1.62
CENTUM,3851.8,3790.3,1.62
730PFCL41,1002.0,986.01,1.62
NITTAGELA,1722.9,1695.5,1.62
HCLTECH,1356.6,1335.0,1.62
RAJTV,10.11,9.95,1.61
SILINV,440.7,433.7,1.61
ALGOQUANT,67.21,66.15,1.6
