TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-07,2026-08-07,CM,NSE,STK,3531,INE687A01016,TRANSPEK,EQ,,,,,TRANSPEK INDUSTRY LTD,1324.0,1330.6,1225.2,1262.4,1279.4,1321.4,,1267.69,,,3737,4811547.7,542,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,10580,INE688A01022,TCI,EQ,,,,,TRANSPORT CORPN OF INDIA,921.25,927.45,914.95,916.35,916.0,927.0,,916.43,,,11169,10280453.6,1643,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,28714,INE454P01035,TRANSRAILL,EQ,,,,,TRANSRAIL LIGHTING LTD,480.0,484.25,470.0,473.4,474.4,490.95,,473.42,,,944025,448961834.5,26088,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,19801,INE0NVI01020,TRANSTEEL,SM,,,,,TRANSTEEL SEATING TECH L,113.0,113.0,113.0,113.0,113.0,115.6,,113.0,,,2000,226000.0,2,F1,1000,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14319,INE804H01012,TFL,EQ,,,,,TRANSWARRANTY FIN. LTD.,11.49,11.84,11.03,11.6,11.65,11.49,,11.6,,,4843,56249.65,62,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,8619,INE757B01015,TRANSWORLD,BE,,,,,TRANSWORLD SHIP LINES LTD,162.0,166.35,158.0,166.0,165.01,158.43,,166.11,,,30082,4962123.62,202,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,757545,INE103V01028,TRAVELFOOD,EQ,,,,,TRAVEL FOOD SERVICES LTD,1380.0,1470.9,1354.1,1428.6,1429.0,1337.2,,1428.68,,,1277146,1843180560.6,39382,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,25082,INE040M01013,TREEHOUSE,EQ,,,,,TREE HOUSE EDU LTD,6.32,6.42,6.2,6.3,6.23,6.26,,6.3,,,8049,50627.73,70,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,7518,INE00CA01015,TREJHARA,EQ,,,,,TREJHARA SOLUTIONS LTD,165.75,186.3,165.7,177.66,177.43,165.13,,177.67,,,228683,40657002.51,4582,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,1964,INE849A01020,TRENT,EQ,,,,,TRENT LTD,3106.5,3106.5,2985.6,2997.0,2997.0,3107.1,,2997.05,,,2469173,7456585331.9,143781,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,17987,INE391D01019,TRF,EQ,,,,,TRF LIMITED,233.74,235.74,231.01,232.79,232.6,232.41,,232.79,,,39350,9157383.34,1640,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,27037,INE760L01018,TBZ,EQ,,,,,TRIB BHIMJI ZAVERI LTD,271.9,280.9,271.0,273.0,273.0,271.0,,273.0,,,922618,254420447.65,14981,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,12182,INE064C01022,TRIDENT,BL,,,,,TRIDENT LIMITED,24.9,24.9,24.9,24.9,24.9,24.9,,24.9,,,130000000,3237000000.0,1,F1,999999999,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9685,INE064C01022,TRIDENT,EQ,,,,,TRIDENT LIMITED,25.5,25.91,25.05,25.18,25.1,24.9,,25.18,,,15759138,401972181.91,26171,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,21093,INE0QD201012,TECHLABS,ST,,,,,TRIDENT TECHLABS LIMITED,118.05,124.0,117.8,121.9,124.0,121.3,,121.9,,,16000,1929693.75,64,F1,125,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,17215,INE0LWY01029,TRIDHYA,ST,,,,,TRIDHYA TECH LIMITED,9.5,9.5,9.5,9.5,9.5,9.95,,9.5,,,3000,28500.0,1,F1,3000,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,5428,INE948A01012,TRIGYN,EQ,,,,,TRIGYN TECHNOLOGIES LTD,54.78,55.43,53.19,53.5,53.23,54.8,,53.5,,,35806,1946735.43,1292,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,13081,INE256C01024,TRIVENI,EQ,,,,,TRIVENI ENGG. & INDS. LTD,231.5,237.99,228.07,233.22,234.5,230.53,,233.23,,,496516,115937307.56,6789,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,25584,INE152M01016,TRITURBINE,EQ,,,,,TRIVENI TURBINE LIMITED,643.0,654.15,630.3,636.45,632.0,646.35,,636.45,,,499505,322007266.0,20743,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,24645,INE0SYV01018,TROM,ST,,,,,TROM INDUSTRIES LIMITED,56.4,56.75,56.1,56.3,56.3,59.0,,56.3,,,8400,472770.0,14,F1,600,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,759210,INE0MWH01014,TRUALT,EQ,,,,,TRUALT BIOENERGY LIMITED,465.05,483.9,465.0,477.05,477.0,464.3,,477.04,,,527721,251486520.75,11651,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,9378,INE615R01029,TRU,EQ,,,,,TRUCAP FINANCE LIMITED,4.65,4.73,4.54,4.55,4.55,4.61,,4.55,,,83768,383614.27,292,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,23417,INE0SWN01019,TRUST,SM,,,,,TRUST FINTECH LIMITED,28.5,29.0,27.35,28.4,28.45,28.5,,28.4,,,8400,235110.0,14,F1,600,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,757861,INE16VK01010,TSC,ST,,,,,TSC INDIA LIMITED,43.7,44.0,43.7,44.0,44.0,46.0,,44.0,,,16000,701000.0,8,F1,2000,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,2183,INE202Z01029,TSFINV,EQ,,,,,TSF INVESTMENTS LIMITED,437.0,445.0,435.45,441.95,444.0,437.7,,441.95,,,54440,23972269.9,2634,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11369,INE910C01018,TTKHLTCARE,EQ,,,,,TTK HEALTHCARE LIMITED,1113.9,1113.9,1071.0,1084.8,1089.9,1094.1,,1084.24,,,22552,24594016.7,2579,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,3546,INE690A01028,TTKPRESTIG,EQ,,,,,TTK PRESTIGE LTD,636.8,638.85,611.1,615.95,615.95,636.8,,615.91,,,73246,45774829.6,5571,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,312,INE974X01010,TIINDIA,EQ,,,,,TUBE INVEST OF INDIA LTD,2754.9,2783.0,2742.2,2772.0,2772.0,2753.8,,2771.98,,,142399,392907585.5,20137,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,24520,INE0OXV01027,TUNWAL,SM,,,,,TUNWAL E-MOTORS LIMITED,26.0,26.45,25.75,26.4,26.4,26.1,,26.4,,,44000,1152200.0,20,F1,2000,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,756090,INE0OC301013,TURTLEMINT,EQ,,,,,TURTLEMINT FINTECH SOLS L,112.55,114.5,111.04,111.84,112.05,112.75,,111.84,,,286715,32315907.05,4864,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11275,INE038F01029,TVTODAY,EQ,,,,,TV TODAY NETWORK LTD,114.72,116.59,114.09,114.68,114.3,115.65,,114.7,,,32993,3788361.13,498,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,18508,INE871L01013,TVVISION,BE,,,,,TV VISION LIMITED,4.32,4.32,4.13,4.13,4.13,4.34,,4.15,,,61344,253471.44,117,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,11265,INE236G01019,TVSELECT,EQ,,,,,TVS ELECTRONICS LTD,508.15,518.8,502.8,506.9,502.8,508.15,,506.91,,,64153,32726625.5,3044,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,29008,INE105A01035,TVSHLTD,EQ,,,,,TVS HOLDINGS LIMITED,15042.0,15070.0,14752.0,14848.0,14752.0,14908.0,,14847.88,,,3024,45145708.0,1146,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,8479,INE494B01023,TVSMOTOR,EQ,,,,,TVS MOTOR COMPANY  LTD,4380.0,4458.0,4378.0,4440.9,4440.9,4375.0,,4440.23,,,840158,3725297059.6,51055,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,761141,INE494B04019,TVSMNCRPS,P1,,,,,TVS MOTOR COMPANY LIMITED,10.5,10.55,10.45,10.5,10.5,10.5,,10.5,,,1197572,12575311.7,380,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,14245,INE421C01016,TVSSRICHAK,EQ,,,,,TVS SRICHAKRA LIMITED,3980.1,3999.8,3951.5,3964.9,3979.0,3971.2,,3964.99,,,1405,5583851.0,390,F1,1,,,,,
2026-08-07,2026-08-07,CM,NSE,STK,18151,INE395N01027,TVSSCS,EQ,,,,,TVS SUPPLY CHAIN SOL L,134.0,134.96,132.65,133.79,134.05,132.38,,133.79,,,214689,28665861.85,4404,F1,1,,,,,
